Sepal length ,Sepal width ,Petal length ,Petal width 
6.61632,5.68732,-1.83936,-1.73073
6.75843,5.18712,-1.93131,-1.90721
7.11519,5.63398,-1.98509,-1.8952
6.32979,4.73201,-1.46069,-1.77432
6.58511,5.07268,-1.18682,-1.65703
6.84975,5.67099,-1.54898,-1.7611
6.78944,5.50036,-1.962,-2.13077
8.12203,6.75049,-2.19257,-2.66762
8.6176,5.65656,-2.40707,-2.62607
6.28449,4.54209,-2.0699,-1.91834
7.34254,5.87299,-1.85018,-1.94988
6.13888,4.96725,-1.32672,-1.75797
8.27823,5.81834,-2.57504,-2.64706
6.41761,5.13362,-1.97939,-1.66499
7.09845,5.87593,-1.80929,-2.11941
7.39067,5.96587,-2.34104,-2.37191
6.28053,5.1848,-1.89643,-1.62368
6.23265,5.33248,-1.76008,-1.75523
7.01864,5.29773,-1.73658,-2.05599
7.21543,5.76547,-2.54734,-2.29084
7.71708,5.68315,-2.50821,-2.29725
7.93913,6.80912,-2.50459,-2.47853
7.07511,5.30366,-1.67288,-2.00386
6.33739,5.21233,-2.1171,-1.99424
6.52081,4.95632,-2.01931,-2.47513
8.04548,6.00676,-2.41658,-2.03451
6.97446,5.82908,-1.32104,-2.00089
6.71041,5.55378,-1.8651,-2.16965
6.12248,5.29164,-1.70263,-1.70143
7.08233,5.76238,-2.04492,-1.8011
7.26365,5.70743,-1.68314,-1.85787
7.0211,5.76752,-1.95934,-1.45628
6.32965,4.95099,-1.53083,-1.9052
7.40654,5.83886,-1.7509,-2.13665
7.32435,5.89966,-1.55448,-1.91089
7.00186,5.60052,-1.82812,-1.57677
6.58598,4.95773,-1.95276,-1.66808
6.72821,5.5055,-1.87643,-1.78595
6.74976,5.78006,-1.34123,-1.91904
6.24454,5.25975,-1.5894,-1.96839
